Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Adam,133,85,66,60,83,69,73,62,67,60,69
Addison,103,80,83,82,81,89,79,76,86,81,81
Alan,131,77,78,76,81,88,85,77,88,89,81
Alexis,111,75,85,74,63,75,66,80,78,75,72
Amber,119,86,77,90,89,81,80,84,76,83,87
Arianna,122,80,77,85,73,78,85,70,70,70,65
Aubrey,126,77,67,83,70,79,81,64,67,61,66
Bianca,128,60,66,71,70,67,67,65,72,82,65
Braden,104,78,84,84,81,77,76,77,78,75,79
Brittany,102,84,90,83,75,79,77,88,84,81,83
Bryson,125,79,60,62,80,65,84,71,72,73,64
Camila,113,92,95,93,89,99,83,89,94,98,90
Catherine,112,72,83,70,77,63,63,68,83,84,69
Chloe,120,69,79,70,83,72,85,66,72,75,73
Cristian,135,83,76,82,79,76,83,79,77,84,86
Daniela,116,81,60,61,61,66,68,75,74,69,77
Diego,149,63,73,65,67,75,66,73,64,72,66
Ellie,118,79,76,78,75,81,89,88,82,86,79
Emmanuel,123,78,60,66,67,65,81,66,79,65,62
Gabrielle,114,78,88,80,76,77,86,83,88,88,83
Giselle,132,85,85,81,76,77,80,84,76,79,75
Hailey,105,63,73,74,67,83,72,77,76,70,77
Jackson,109,75,81,82,83,75,87,79,75,77,85
Jalen,134,84,61,81,62,63,85,78,84,76,82
Jasmine,141,75,80,90,84,77,87,90,76,77,79
Jayden,107,65,84,70,60,85,74,77,67,63,73
Jazmin,127,80,89,89,82,76,80,85,88,84,84
Joel,144,72,68,66,80,78,82,74,77,72,70
Jordyn,124,71,82,63,64,84,70,70,83,78,65
Jorge,145,62,80,76,85,65,73,67,79,64,62
Julian,115,70,82,67,84,61,78,83,66,80,72
Kaleb,142,76,79,79,60,80,61,78,62,63,71
Katherine,108,84,82,81,96,87,85,81,93,84,86
Leslie,136,82,66,69,61,82,83,76,75,79,63
Liliana,146,62,75,74,64,78,62,60,61,78,67
Lilly,138,80,84,81,84,85,80,88,82,84,88
Mason,129,84,79,87,86,86,86,89,83,84,88
Matthew,137,68,60,62,56,56,52,75,58,52,59
Mckenzie,140,76,81,75,77,79,87,83,82,80,89
Melanie,147,82,85,87,83,77,85,78,77,88,84
Micah,121,61,68,78,65,66,84,83,80,78,70
Michelle,139,81,84,77,80,86,78,84,86,78,76
Patrick,106,70,79,64,75,77,72,78,69,83,65
Paul,117,83,65,84,82,63,80,64,69,80,69
Peyton,101,82,70,67,73,65,70,74,70,60,72
Sofia,150,87,94,83,83,93,95,88,85,97,91
Spencer,110,81,64,68,66,63,65,80,82,69,78
Trenton,130,78,70,74,66,69,62,73,66,82,61
Vincent,148,80,74,80,65,68,71,68,61,74,61
Xavier,143,80,70,73,65,64,81,63,78,76,81
