Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Abby,260,90,84,80,89,81,89,76,84,83,89
Aiden,280,73,79,74,64,66,84,72,64,67,64
Alyssa,294,80,66,76,78,77,81,78,82,71,61
Andrea,259,75,84,82,90,79,78,82,76,83,79
Angelica,272,64,83,77,65,80,66,66,74,71,69
Ashton,266,61,73,66,78,84,66,71,64,77,84
Brady,281,84,64,84,63,68,64,61,69,76,61
Brooke,287,83,82,68,73,78,77,68,78,76,82
Caitlin,261,64,61,74,76,60,65,76,77,60,67
Cassandra,299,84,75,70,81,85,60,65,61,62,63
Cassidy,254,90,85,81,82,90,76,77,86,81,78
Cheyenne,268,79,71,81,82,72,65,80,84,65,61
Claire,252,63,52,72,53,72,73,63,55,62,70
Cole,291,82,74,82,71,61,76,78,78,63,65
Colin,283,65,68,60,76,81,61,65,63,68,71
Devin,253,85,79,86,83,87,78,86,87,87,90
Donovan,284,67,82,83,76,62,61,79,62,82,62
Edward,263,86,83,87,80,78,77,80,76,81,86
Eli,297,72,78,67,74,78,67,74,80,83,85
Erick,289,77,81,69,76,78,84,74,78,73,72
Gabriella,298,77,78,85,75,75,88,80,76,80,85
Grace,285,82,84,81,65,64,70,80,62,67,82
Hope,264,81,68,63,83,66,81,71,64,70,61
Jada,271,77,82,90,75,83,76,75,79,77,87
Jennifer,275,78,87,81,86,84,78,86,75,77,80
Jeremy,257,75,85,81,89,76,87,85,90,90,82
Jessica,295,82,79,88,88,79,80,88,78,88,81
Jonathan,273,62,84,72,72,83,78,83,63,76,63
Kendall,262,90,87,84,75,90,79,78,85,90,75
Lauren,279,75,77,80,64,84,79,82,64,84,84
Leonardo,290,78,71,69,67,85,85,85,72,60,66
Lillian,274,70,85,71,84,75,80,81,70,65,62
Marcus,251,61,65,64,82,82,77,64,82,85,66
Mark,292,64,70,83,60,77,63,77,82,66,82
Michael,270,83,80,73,83,67,85,63,82,60,67
Mikayla,276,82,86,83,82,79,90,86,90,81,85
Mya,269,84,68,68,65,81,76,79,71,67,65
Nathaniel,278,88,78,83,77,85,87,88,82,86,79
Oscar,265,72,77,69,84,68,62,80,66,70,80
Payton,277,79,75,85,88,86,82,80,83,81,81
Peyton,300,90,79,80,88,80,78,85,80,89,87
Rachel,286,70,72,62,62,72,79,66,62,76,70
Rebecca,256,75,81,77,89,77,82,81,83,82,86
Riley,293,77,83,83,69,70,64,71,73,82,74
Ruby,282,66,61,78,67,74,67,71,64,79,67
Samuel,255,85,81,79,75,86,90,84,84,77,76
Shane,267,78,84,82,77,85,80,86,82,84,89
Sophie,296,61,73,83,84,71,74,60,80,70,65
Stephen,258,76,79,79,89,90,89,86,81,76,88
Victor,288,82,64,65,66,72,73,69,80,83,78
