Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Aaron,327,69,78,72,74,83,70,66,60,61,80
Alexandria,328,82,76,80,67,83,81,71,67,70,74
Andres,317,77,79,76,82,83,79,87,83,90,80
Anna,310,81,80,68,81,82,68,79,72,80,75
Benjamin,334,93,95,94,86,89,95,90,85,97,99
Blake,326,77,75,82,76,81,81,87,81,81,76
Brandon,316,78,78,75,84,74,71,79,73,60,79
Brian,331,89,75,90,89,85,83,88,85,80,78
Brody,346,95,100,83,92,99,83,80,95,97,81
Carter,324,88,90,90,76,75,88,75,88,82,78
Dakota,302,84,84,64,61,63,62,71,68,67,77
Danielle,321,86,75,77,75,77,88,85,75,90,82
David,332,66,81,63,76,70,81,76,73,81,81
Delaney,344,80,76,89,76,81,78,77,87,82,90
Ella,341,88,76,84,89,81,76,89,82,80,90
Emma,306,84,83,76,75,85,82,80,79,88,90
Gabriela,309,81,67,63,67,76,67,75,83,79,73
Gavin,330,82,63,82,62,73,77,67,64,61,68
Giovanni,342,76,85,76,84,73,68,63,73,71,68
Haley,304,76,80,80,86,79,76,75,88,82,77
Hayden,336,83,89,75,84,90,90,86,78,80,89
Henry,307,80,78,80,83,62,74,71,64,76,85
Ian,315,60,78,63,63,67,80,60,74,78,65
Isabella,320,61,82,72,82,64,77,65,64,79,81
Jack,318,60,62,83,69,75,78,71,83,74,72
Jaden,303,76,67,83,62,82,82,70,65,71,65
Jake,311,75,60,71,66,71,74,72,82,76,63
Jayla,333,68,78,80,61,68,75,75,76,77,78
Jonah,308,70,63,66,79,79,73,83,80,66,82
Juan,301,65,85,63,76,83,65,75,79,79,78
Julia,322,68,64,76,73,72,81,77,62,61,81
Karina,348,61,85,75,74,81,62,77,66,80,78
Katelyn,312,91,81,88,90,98,88,94,95,86,88
Kayla,340,52,61,69,61,70,67,65,71,70,54
Kelly,350,77,89,78,79,79,80,88,87,78,89
Lily,323,85,96,86,97,95,80,97,97,91,84
Lydia,335,82,80,87,85,88,89,85,75,83,79
Mackenzie,347,81,84,89,88,84,78,85,86,76,81
Makenzie,349,93,83,82,88,96,93,97,84,92,96
Marco,345,84,85,75,90,90,88,76,78,90,89
Max,338,80,88,77,84,86,77,89,80,75,75
Mia,313,84,66,70,67,63,70,84,83,81,75
Owen,314,84,77,78,89,81,85,90,75,76,84
Riley,339,72,64,71,73,66,78,67,85,85,64
Sabrina,325,73,81,62,68,78,76,75,83,78,64
Savannah,343,84,85,83,87,86,76,77,77,83,75
Sean,337,79,76,79,89,76,79,80,81,81,78
Sergio,319,75,83,90,79,90,81,89,81,77,87
Vanessa,305,75,80,83,82,84,84,86,75,88,77
Victoria,329,75,66,83,72,77,82,78,71,71,67
