Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Alejandro,393,86,82,80,98,95,93,82,93,88,80
Andrew,380,87,89,94,91,93,93,82,91,98,82
Angela,397,78,78,66,79,74,68,66,70,61,82
Brendan,369,99,91,97,92,90,100,82,99,93,91
Brooklyn,367,89,92,99,84,98,83,86,88,94,80
Caitlyn,381,81,82,79,68,77,77,65,83,75,73
Cameron,366,69,69,75,79,60,78,60,63,77,64
Chelsea,392,80,81,76,71,85,67,62,70,78,63
Collin,396,77,67,75,73,60,70,61,69,66,83
Daisy,395,82,74,84,60,74,83,69,78,64,83
Dominic,376,60,66,76,63,74,84,72,77,61,70
Erik,360,79,83,75,82,79,89,88,76,87,77
Erin,354,62,83,64,65,64,73,66,69,83,82
Genesis,353,84,87,78,80,84,80,83,85,79,84
Hannah,362,90,83,82,79,90,77,78,75,86,83
Isabel,387,67,61,65,68,70,76,81,75,83,75
Javier,364,96,97,82,84,96,88,98,92,93,97
Jeffrey,388,89,86,77,86,77,84,80,89,89,75
Jenna,383,75,77,84,78,87,85,80,78,77,77
Jeremiah,382,90,85,100,80,82,85,85,99,84,87
Jesse,358,75,71,78,77,61,61,65,78,71,81
Jillian,399,82,78,62,81,81,72,61,81,74,70
Jocelyn,377,83,76,82,84,76,78,89,86,76,84
Johnathan,378,87,81,78,79,90,78,81,81,84,84
Jordan,389,71,61,65,84,84,84,84,75,85,79
Joshua,391,85,89,80,76,79,87,76,87,86,76
Justin,375,90,87,84,82,82,89,81,88,90,82
Kiara,400,62,77,84,64,65,69,70,67,64,76
Landon,368,77,63,62,65,79,85,64,74,83,75
Layla,365,68,79,77,75,75,84,77,62,65,83
Leah,372,68,72,80,67,71,77,67,65,75,63
Levi,386,87,84,84,81,81,82,87,84,88,80
Logan,390,78,86,83,90,75,80,85,89,90,89
Lucy,394,90,87,89,75,90,85,76,87,78,86
Marissa,370,92,82,88,98,84,89,86,85,94,88
Maya,352,80,77,84,88,77,86,83,86,82,77
Melissa,373,77,78,80,90,77,77,81,84,82,75
Naomi,374,84,85,77,85,82,82,83,80,76,82
Natalia,379,62,63,81,62,80,72,76,76,77,62
Nathan,371,78,81,83,87,88,75,82,80,77,86
Nevaeh,398,66,74,61,77,62,74,79,71,76,72
Nicholas,359,76,67,71,69,61,66,65,68,60,77
Nolan,351,63,68,66,61,80,69,61,74,85,71
Rylee,361,99,83,88,90,90,94,86,100,87,90
Sadie,384,72,60,79,84,61,80,81,85,64,80
Serenity,363,83,83,87,83,81,87,90,89,78,77
Sophia,357,63,84,82,78,60,70,76,70,76,72
Trevor,356,87,88,89,86,86,80,81,82,86,80
Valerie,355,84,62,72,68,66,63,76,74,73,66
Zoe,385,80,75,83,68,76,83,79,69,81,85
