Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Adriana,79,78,84,90,90,81,84,82,89,85,81
Alex,56,80,83,62,82,68,71,75,60,83,72
Alexis,78,74,82,78,80,66,64,85,84,84,81
Amelia,63,62,71,65,74,56,55,63,61,65,69
Ava,73,91,96,85,81,97,93,86,90,82,95
Breanna,98,97,100,82,94,84,95,94,85,94,92
Caleb,52,72,73,55,68,58,72,57,64,63,50
Carlos,96,99,87,95,81,84,100,93,91,98,90
Caroline,70,66,63,57,74,62,66,70,73,66,71
Charles,71,87,83,90,80,89,75,85,84,86,88
Christina,54,62,60,79,77,75,66,70,81,85,75
Christopher,58,84,79,81,87,76,77,80,82,78,77
Dylan,55,89,77,86,77,90,81,82,77,79,90
Erica,92,62,77,71,78,62,66,80,74,85,80
Ethan,61,77,76,83,82,82,88,79,90,83,79
Eva,75,84,87,78,75,78,81,80,90,89,85
Evelyn,91,89,93,96,89,89,88,88,88,82,88
Gage,69,84,75,87,86,81,89,83,80,77,76
Grant,57,87,90,83,83,89,78,85,82,86,81
Hector,85,70,63,84,60,67,67,85,63,70,80
Isaiah,82,69,79,82,72,69,85,82,70,61,72
Ivan,80,83,77,61,68,67,72,70,82,64,82
Jacqueline,67,61,67,69,62,66,78,67,62,67,74
Jared,84,65,75,78,80,83,63,85,85,62,83
Jasmin,83,67,81,80,76,63,65,76,62,78,75
Jason,95,71,84,64,67,74,72,63,66,68,60
Jordan,81,83,60,64,69,71,74,81,80,81,75
Josiah,99,99,83,88,91,86,81,94,81,97,87
Juliana,53,65,81,83,82,64,66,81,71,67,76
Kaitlyn,72,80,68,68,76,65,72,81,70,67,67
Kathryn,87,78,82,86,86,86,88,84,88,85,75
Katie,94,83,85,85,80,75,85,84,80,78,86
Kelsey,77,78,73,72,80,76,70,67,68,69,61
Lindsey,65,76,80,85,66,63,73,77,64,65,78
Madeline,68,72,51,58,53,59,65,74,51,60,50
Margaret,93,54,75,66,60,75,59,61,62,51,73
Mariah,60,83,77,80,83,77,74,78,69,73,70
Maxwell,86,74,80,65,73,71,68,73,64,60,73
Morgan,97,68,68,83,63,64,79,79,62,63,67
Parker,62,87,90,87,86,86,76,76,88,84,88
Reagan,74,66,69,81,62,69,85,76,71,60,60
Sarah,51,66,57,61,66,62,75,75,64,73,51
Sebastian,64,64,85,65,61,68,65,68,66,72,63
Seth,76,78,82,75,62,75,77,61,75,74,78
Summer,89,83,85,71,76,68,72,62,70,63,70
Thomas,90,84,86,90,84,83,80,88,87,88,78
Travis,59,93,95,92,85,85,99,86,95,92,99
Tristan,88,98,95,87,95,95,91,82,81,94,85
Valeria,66,100,88,82,87,85,96,81,93,100,100
Zoey,100,88,82,89,83,85,87,87,77,82,89
