Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Alana,156,69,61,68,70,64,83,84,80,81,85
Alexander,191,68,78,78,84,82,75,83,79,70,67
Alexia,187,75,86,81,82,86,78,76,90,85,87
Alicia,162,95,84,94,88,81,100,93,93,91,94
Allison,192,97,87,99,86,87,81,86,84,98,80
Ashley,173,78,86,88,77,90,84,81,78,84,77
Ashlyn,175,76,65,70,65,79,65,68,60,78,69
Autumn,188,62,81,84,62,83,66,61,79,71,60
Avery,151,98,91,83,80,98,100,99,94,92,90
Brayden,200,73,76,80,61,69,84,79,64,63,66
Bryan,182,71,62,68,62,78,80,75,81,68,69
Chase,169,87,95,85,84,81,100,88,89,83,83
Christian,196,83,85,70,82,65,82,62,69,66,81
Colby,176,79,69,79,70,75,72,60,62,80,73
Cooper,194,61,83,76,78,75,77,73,60,77,84
Eduardo,159,68,85,74,60,71,71,75,66,82,63
Elijah,199,98,99,96,90,94,100,94,95,100,84
Evan,166,80,86,83,90,76,87,83,86,89,78
Francisco,164,82,82,78,77,79,84,83,84,88,81
Gabriel,155,64,63,79,84,77,62,72,66,71,65
Garrett,165,88,76,88,78,85,75,82,75,87,78
Hunter,153,68,80,62,81,75,64,65,84,79,83
Isaac,178,88,92,89,82,95,96,85,81,80,81
Isabelle,197,88,80,76,90,79,76,79,88,90,87
Kate,186,73,72,69,61,51,68,73,72,72,68
Kenneth,183,78,76,65,61,72,74,80,77,64,78
Kimberly,181,84,87,95,85,82,91,82,89,94,81
Kylee,167,62,74,77,62,66,66,83,81,83,68
Kylie,189,97,83,88,91,88,94,100,97,81,86
Liam,158,85,70,62,64,62,79,75,61,77,81
Luke,177,84,100,99,97,98,97,97,86,89,81
Makayla,157,76,86,78,81,84,89,87,89,87,84
Manuel,195,98,94,82,97,80,99,81,87,100,98
Maria,184,63,84,80,84,77,69,66,68,66,65
Miranda,179,76,90,78,86,75,79,86,85,90,77
Molly,160,79,85,63,74,63,64,65,71,71,79
Natalie,180,86,85,96,91,94,99,85,82,83,84
Nicole,198,84,97,82,89,85,85,94,80,97,95
Olivia,161,67,71,82,74,79,74,68,69,65,76
Omar,185,79,60,64,61,78,78,67,73,81,68
Paige,174,72,68,71,76,85,70,85,83,81,75
Richard,163,80,84,72,72,77,65,66,63,67,71
Samantha,193,86,88,80,80,87,86,80,82,76,84
Steven,152,86,82,93,86,92,82,83,89,80,98
Sydney,172,70,66,56,63,71,58,72,53,72,57
Tanner,170,86,96,92,80,82,88,89,86,83,95
Taylor,190,77,90,80,79,87,78,90,81,86,87
Tiffany,154,94,82,91,93,80,87,86,80,80,89
Trinity,171,85,76,76,78,86,81,82,90,89,90
Wyatt,168,89,87,76,78,90,84,75,75,80,89
