Name,ID,Math,Physics,Chemistry,Biology,English,History,Geography,Literature,Philosophy,Art
Aaliyah,215,68,64,60,74,79,85,70,64,69,81
Abraham,228,76,76,63,72,82,74,60,71,78,80
Adrian,236,73,70,84,76,60,69,82,81,75,83
Adrianna,217,54,59,53,64,64,68,56,59,59,52
Aidan,235,100,89,88,86,90,98,97,91,89,88
Alondra,214,77,83,84,83,82,81,65,61,72,74
Angel,240,85,86,77,85,85,75,79,86,78,87
Antonio,230,75,85,65,64,70,77,74,85,84,73
Ariana,231,66,68,81,72,72,78,84,73,75,84
Bailey,208,76,88,89,78,85,87,82,82,78,88
Briana,249,76,78,81,75,69,74,82,84,67,73
Bryce,205,65,80,69,80,80,71,69,75,82,71
Charlotte,232,83,78,83,89,76,87,89,84,76,86
Colton,234,85,64,64,65,84,78,66,69,74,63
Conner,225,85,61,79,76,70,78,78,73,61,82
Connor,244,82,87,80,79,82,83,75,80,77,85
Courtney,247,83,86,87,83,80,79,76,79,82,76
Damian,242,69,83,82,66,81,82,67,62,81,65
Daniel,213,91,95,85,86,92,91,98,97,98,96
Edgar,203,60,69,58,58,71,57,66,66,57,50
Emily,248,78,80,84,75,81,78,87,75,82,80
Eric,233,68,84,74,65,71,79,73,83,62,67
Fernando,216,83,80,77,85,84,64,64,81,75,85
George,210,97,82,98,99,90,92,100,80,83,98
Gracie,223,70,70,64,74,72,73,58,63,53,67
Jacob,226,82,78,77,87,88,88,88,81,88,87
Jade,204,96,83,85,94,98,95,85,84,100,90
Jose,246,100,91,95,94,90,97,84,80,82,83
Joseph,209,93,81,86,94,95,80,86,80,93,82
Karen,250,82,76,80,87,87,83,84,85,83,76
Kennedy,211,76,76,66,71,63,80,76,63,60,71
Lucas,202,89,87,85,79,81,78,90,87,86,80
Luis,201,75,75,90,79,87,77,87,83,85,82
Madelyn,224,87,90,86,82,86,87,83,84,85,82
Malachi,238,94,85,81,80,83,83,90,100,97,95
Mario,227,85,76,64,69,75,71,77,65,79,61
Miguel,243,69,75,68,77,77,80,82,64,76,82
Nicolas,237,83,96,92,89,95,96,91,89,98,84
Raymond,219,77,82,85,87,77,82,87,87,76,76
Robert,221,71,82,79,61,66,74,75,67,85,64
Ryan,218,77,80,84,83,84,82,86,86,76,78
Sara,245,80,65,78,69,68,81,65,64,81,85
Sierra,212,74,79,68,83,65,64,63,80,81,78
Stephanie,241,75,60,74,76,72,77,80,67,60,61
Timothy,206,85,83,75,78,89,84,87,79,78,88
Tyler,220,82,80,64,69,77,64,74,63,67,81
Veronica,207,77,79,60,76,77,83,64,74,73,76
Wesley,229,88,87,78,77,77,77,81,80,79,81
William,239,100,90,91,86,85,94,80,84,95,96
Zachary,222,100,95,100,85,86,100,96,89,90,99
